Name,Overall Quality,Total Ratings,Hot,Easiness,Department,College
"Selig, Ralph",5,1,Not Hot,4,Mathematics,MIT
"Shera, Chris",2.5,1,Not Hot,2,Health Science,MIT
"Ruckert, George",5,3,Not Hot,3.3,Music,MIT
"Sadighi, Joseph",3.7,5,Hot,2.6,Chemistry,MIT
"Sasisekharan, Ram",4.2,2,Hot,3.5,Engineering,MIT
"Sauer, Robert",1.5,1,Not Hot,2,Biology,MIT
"Schechter, Paul",2.9,7,Not Hot,2.7,Physics,MIT
"Schneider, Gerald",4,3,Not Hot,5,Not Specified,MIT
"Scribner, Charity",4.8,3,Hot,1.7,Humanities,MIT
"Seidel, Paul",4.5,2,Not Hot,3.5,Mathematics,MIT
"Sheffi, Yossi",4.5,1,Hot,3,Engineering,MIT
"Shingu, Ikue",3.8,6,Not Hot,2.2,Languages,MIT
"Shrock, Richard",1.7,5,Not Hot,2.6,Chemistry,MIT
"Simchi-Levi, David",4.5,3,Not Hot,2.7,Engineering,MIT
"Sipser, Michael",5,5,Hot,3,Mathematics,MIT
"Smith, Kord", ,0,Not Hot, ,Engineering,MIT
"Sodini, Charles",2.1,4,Not Hot,2.2,Engineering,MIT
"Staffilani, Gigliola",3.8,4,Not Hot,2.8,Mathematics,MIT
"Steriade, Donca",3.4,5,Not Hot,3.6,Linguistics,MIT
"Stevens, Kenneth",3.8,2,Not Hot,4,Engineering,MIT
"Subirana, Brian",2.5,2,Not Hot,4.5,Management,MIT
"Surrow, Bernd",4,4,Hot,3,Physics,MIT
"Siebert, William",5,2,Not Hot,3,Engineering,MIT
"Sinha, Pawan",4.5,3,Not Hot,4.7,Psychology,MIT
"Sive, Hazel",4.8,4,Not Hot,2.8,Biology,MIT
"Socrate, Simona",3.5,6,Not Hot,2.8,Engineering,MIT
"Spakovsky, Zoltan",4.2,3,Not Hot,1.3,Engineering,MIT
"Stanley, Richard",4.5,2,Not Hot,2,Mathematics,MIT
"Sterman, John",5,3,Not Hot,2.3,Management,MIT
"Strang, Gilbert",4.4,13,Hot,4,Mathematics,MIT
"Suh, Nam Pyo",4,1,Not Hot,1,Engineering,MIT
"Sussman, Joseph",3,2,Not Hot,4.5,Engineering,MIT
"Swager, Timothy",2.8,6,Not Hot,2,Chemistry,MIT
"Tabacco, Sarah",4.6,9,Hot,3.8,Chemistry,MIT
"Tegmark, Max",5,2,Hot,3.5,Physics,MIT
"Thilly, William",5,1,Hot,2,Biology,MIT
"Ting, Alice",4.5,1,Hot,1,Chemistry,MIT
"Toth, Csaba",5,1,Hot,2,Mathematics,MIT
"Utterback, James",5,1,Not Hot,5,Management,MIT
"Verdi, Rodrigo",5,2,Hot,4,Accounting,MIT
"Voldman, Joel",4,1,Not Hot,2,Engineering,MIT
"Vuletic, Vladan",4.5,1,Not Hot,2,Physics,MIT
"Szolovits, Peter",4.2,5,Hot,2.8,Health Science,MIT
"Tapscott, Stephen",3.3,10,Not Hot,3.2,English,MIT
"Theodore, Nick",3,1,Not Hot,3,Theater,MIT
"Tidor, Bruce",5,1,Not Hot,4,Engineering,MIT
"Toomre, Alar",2,17,Not Hot,2.3,Mathematics,MIT
"Trancik, Jessika", ,0,Not Hot, ,Engineering,MIT
"Van Evera, Steve",3.8,6,Not Hot,3,Political Science,MIT
"Vogel-Taylor, Elizabeth",4.2,5,Hot,3.6,Chemistry,MIT
"Von Hippel, Eric",4.3,3,Not Hot,3,Management,MIT
"Walker, Graham",5,7,Not Hot,4.7,Biology,MIT
"Wallace, David",5,3,Not Hot,2.7,Engineering,MIT
"Watkins, Craig",1,3,Not Hot,1,Mathematics,MIT
"Weinberg, Robert",3.4,8,Not Hot,2.4,Biology,MIT
"Weise, Peter",4,1,Hot,2,Languages,MIT
"Whittle, Andrew",2.8,2,Not Hot,3,Engineering,MIT
"Win, Moe",4.3,5,Hot,4.2,Engineering,MIT
"Winter, Amos G", ,0,Not Hot, ,Engineering,MIT
"Wood, Elizabeth",5,1,Hot,3,Physics,MIT
"Woodruff, David",5,2,Not Hot,3.5,Political Science,MIT
"Wurch, Louie",5,2,Hot,1.5,Biology,MIT
"Ward, Stephen",3.1,5,Not Hot,3.4,Computer Science,MIT
"Weaver, Christopher",4.6,4,Hot,1.8,Engineering,MIT
"Weiner, Tobie",4.8,2,Hot,4.5,Political Science,MIT
"Wen, Xiao-Gang",2.5,1,Not Hot,3,Physics,MIT
"Willsky, Alan",5,2,Hot,2,Engineering,MIT
"Winston, Patrick",3.7,12,Not Hot,3.3,Computer Science,MIT
"Wolfe, Jeremy",4.4,9,Not Hot,3.7,Psychology,MIT
"Wood, Pamela",4.3,3,Not Hot,2.3,Music,MIT
"Woznica, Sarah",5,1,Hot,2,Ethnic Studies,MIT
"Wurtman, Richard",4.5,2,Not Hot,3,Biology,MIT
"Wyslouch, Bolek",3.2,3,Not Hot,2.7,Physics,MIT
"Yoon, Meejin",2.5,1,Not Hot,2,Architecture,MIT
"Zaman, Tauhid", ,0,Not Hot, ,Business,MIT
"Zwiebach, Barton",4.9,4,Hot,3.2,Physics,MIT
"Yildiz, Bilge", ,0,Not Hot, ,Engineering,MIT
"Youcef-Toumi, Kamal",3,2,Not Hot,1,Engineering,MIT
"Zane, Joe",4,2,Hot,1.5,Fine Arts,MIT
"Zwierlein, Martin", ,0,Not Hot, ,Physics,MIT
"Aanstoos, Ted",4.8,4,Hot,4.5,Engineering,UTexas
"Abraham, Joseph", ,0,Not Hot, ,English,UTexas
"Abrevaya, Jason",5,1,Hot,1,Economics,UTexas
"Adams, Paul",3.2,9,Not Hot,3.2,Geography,UTexas
"Aggarwal, J", ,0,Not Hot, ,Engineering,UTexas
"Aguiniga, Donna",4.5,2,Not Hot,4,Social Work,UTexas
"Aida, Yukie",4.9,5,Hot,2.6,Languages,UTexas
"Akre, Karen",1.7,3,Hot,1.7,Biology,UTexas
"Alawiyah, Tuti", ,0,Not Hot, ,Social Work,UTexas
"Ali, Kamran Asdar",3.5,1,Not Hot,4,Anthropology,UTexas
"Abbott, John",5,5,Hot,2.6,Biology,UTexas
"Abraham, Lee",4.5,2,Not Hot,2,Theater,UTexas
"Adams, Michael", ,0,Not Hot, ,English,UTexas
"Adejumo, Christopher",3.5,2,Not Hot,4,Fine Arts,UTexas
"Aghaie, Kamran",2.8,11,Not Hot,1.9,History,UTexas
"Ahlgren, Angela",2.8,2,Not Hot,4.5,Theater,UTexas
"Akins, Erick",4.5,1,Not Hot,3,Geography,UTexas
"Alam, Umar", ,0,Hot, ,Biology,UTexas
"Alexander, John P", ,0,Not Hot, ,Mathematics,UTexas
"Ali, Samer",4.6,4,Hot,3.2,Literature,UTexas
"Allaire, Edwin",3.1,13,Not Hot,2.9,Philosophy,UTexas
"Allen, ", ,0,Not Hot, ,Biology,UTexas
"Alves, Rosental", ,0,Not Hot, ,Journalism,UTexas
"Amador, Carlos",4.3,7,Hot,4.4,Languages,UTexas
"Ambler, Tony",3.2,12,Not Hot,3.2,Engineering,UTexas
"Amy, Hallberg", ,0,Not Hot, ,Anthropology,UTexas
"Anderson, Michael",4.3,5,Hot,3.6,History,UTexas
"Anderson, Ronald",4.3,44,Not Hot,3.5,Communication,UTexas
"Angelelli, Ignazio",5,1,Not Hot,3,Philosophy,UTexas
"Anslyn, Eric",4.1,5,Not Hot,2,Chemistry,UTexas
"Allcock, Daniel",2.9,8,Not Hot,2,Mathematics,UTexas
"Allen, Jafari",3.3,3,Hot,3,Anthropology,UTexas
"Alvisi, Lorenzo",5,1,Not Hot,1,Computer Science,UTexas
"Ambikaiparker, Mohan",4,1,Not Hot,3,Anthropology,UTexas
"Amen, Sally",4.5,1,Not Hot,5,Mathematics,UTexas
"Anderson, Brian",4.2,3,Not Hot,4,Chemistry,UTexas
"Anderson, Robert",2.5,1,Not Hot,3,Fine Arts,UTexas
"Andrighetti, Traci",4.4,11,Hot,2.9,Languages,UTexas
"Angulo, Sarah",5,3,Hot,4.7,Psychology,UTexas
"Antokoletz, Elliott",3,4,Not Hot,1.8,Music,UTexas
"Antoniewicz, Peter",3.3,3,Hot,2.7,Physics,UTexas
"Arbogast, Todd",4.7,3,Not Hot,1.3,Mathematics,UTexas
"Arias, Arturo",1.8,2,Not Hot,2,Spanish & Portuguese,UTexas
"Arledge, Jane",4.6,4,Not Hot,3,Mathematics,UTexas
"Arnold, Patricia",3,1,Not Hot,4,Business,UTexas
"Ascenas, Jennifer",5,1,Not Hot,3,Communication,UTexas
"Atkinson, Lucinda",5,5,Not Hot,4.6,Advertising,UTexas
"Auyero, Javier", ,0,Not Hot, ,Sociology,UTexas
"Avni, Assaf",5,3,Hot,1,Communication,UTexas
"Awad, Gigi",4.5,1,Not Hot,3,Psychology,UTexas
"Aprile, Jamie",3,16,Not Hot,2.2,Classics,UTexas
"Arens, Katherine",3.1,6,Not Hot,3.8,Women's Studies,UTexas
"Arima, Eugenio",2.5,6,Not Hot,2.7,Geography,UTexas
"Armendariz, Efraim",4.2,3,Not Hot,3.7,Mathematics,UTexas
"Aroian, Mihran", ,0,Not Hot, ,Business,UTexas
"Atiase, Florence",1.8,2,Not Hot,2,Accounting,UTexas
"Atzler, Judith",4.3,3,Not Hot,4,Languages,UTexas
"Avini, Mostafa",4.5,6,Not Hot,4.5,Mathematics,UTexas
"Avraham, Ronen",3.8,2,Hot,3.5,Law,UTexas
"Ayar, Musa",4,2,Hot,3,Economics,UTexas
"Aynesworth, Donald",5,1,Not Hot,2,French & Italian,UTexas
"Azam, Hina",4,2,Hot,3,Religion,UTexas
"Bacelis, Jorge",4.8,3,Hot,3.7,Languages,UTexas
"Bajaj, Chandrajit",2.2,6,Not Hot,2.8,Computer Science,UTexas
"Baker, Samuel", ,0,Not Hot, ,English,UTexas
"Baldea, Michael", ,0,Not Hot, ,Engineering,UTexas
"Ballard, Dawna",4.5,2,Hot,3.5,Communication,UTexas
"Bank, Seth",3.6,4,Hot,3.2,Engineering,UTexas
"Barany, Zoltan",4.2,7,Hot,2.1,Political Science,UTexas
"Barbe, Helen",1.5,1,Not Hot,2,Languages,UTexas
"Ayres, James",1.8,11,Not Hot,1.5,English,UTexas
"Aziz, Adnan",3.8,2,Not Hot,3.5,Engineering,UTexas
"Baek, Mijeong",3.5,2,Not Hot,4.5,Government,UTexas
"Baker, Mary",3.4,4,Not Hot,1.5,Languages,UTexas
"Balan, Manuel",5,1,Hot,4,Political Science,UTexas
"Ballard, Dana",5,2,Not Hot,5,Computer Science,UTexas
"Banerjee, Sanjay",4.5,1,Not Hot,3,Engineering,UTexas
"Banner, Jay",3.9,14,Not Hot,3.2,Science,UTexas
"Barbanson, ",2.2,6,Not Hot,2.5,Mathematics,UTexas
"Barber, Kathleen",2,1,Not Hot,5,Engineering,UTexas
"Barchas, Janine", ,0,Not Hot, ,English,UTexas
"Bargmann, William",3.9,5,Not Hot,2,Biology,UTexas
"Barnes, John",3.8,3,Not Hot,3.7,Engineering,UTexas
"Barr, Kathleen",4.5,7,Not Hot,4.3,History,UTexas
"Barrett, Ashley",3.9,4,Hot,2.8,Communication,UTexas
"Barrish, P",3.7,5,Not Hot,3,English,UTexas
"Barth, Suzanne",4.7,3,Not Hot,3.7,Biology,UTexas
"Batory, Don", ,0,Not Hot, ,Computer Science,UTexas
"Bauld, Nathan",1,3,Not Hot,2,Chemistry,UTexas
"Beavers, Jennifer",4.3,3,Not Hot,3,Music,UTexas
"Bard, ",5,1,Hot,5,Chemistry,UTexas
"Barnes, Jaime",5,1,Not Hot,5,Geology,UTexas
"Barnhill, Dan",5,1,Not Hot,5,Chemistry,UTexas
"Barrenechea, Francisco",1.3,3,Not Hot,1,Classics,UTexas
"Barrett, Michael ",2,1,Not Hot,3,Business,UTexas
"Barros, Alfredo",4.5,2,Not Hot,4.5,Languages,UTexas
"Bash, Frank",4.8,4,Not Hot,3.8,Science,UTexas
"Batterton, John",3.4,20,Not Hot,2,Biology,UTexas
"Beaver, David",2.5,2,Not Hot,1.5,Linguistics,UTexas
"Becirbegovic, Amila",5,1,Hot,3,Languages,UTexas
"Beck, Ariane",4.5,1,Hot,3,Engineering,UTexas
"Beck, Gary",3.2,2,Hot,3.5,Communication,UTexas
"Beer, Jennifer",3.5,4,Not Hot,3.2,Psychology,UTexas
"Beevers, Christopher",5,3,Hot,3,Psychology,UTexas
"Ben-Zvi, David",1.5,1,Not Hot,2,Mathematics,UTexas
"Benedikt, Michael",2.5,5,Not Hot,2.8,Architecture,UTexas
"Benny, Freeman",2.5,1,Not Hot,1,Engineering,UTexas
"Berg, Gary",1.9,23,Not Hot,2.7,Mathematics,UTexas
"Berk, Herbert",1,3,Not Hot,2.7,Physics,UTexas
"Berman, Mitch",2.2,2,Not Hot,2,Law,UTexas
"Beck, Deborah",2.7,5,Not Hot,1.8,Classics,UTexas
"Becker, Michael",5,1,Hot,3,Engineering,UTexas
"Beer, Mary",5,1,Hot,4,Social Work,UTexas
"Bell, Chris",3.7,8,Not Hot,2,Geology,UTexas
"Bencivenga, Valerie",1.7,7,Not Hot,1.3,Economics,UTexas
"Bennett, Hanna",4.5,1,Not Hot,4,Mathematics,UTexas
"Berenstain, Nora",3.6,4,Not Hot,2,Philosophy,UTexas
"Bergeson, Susan",1.2,2,Not Hot,2.5,Biology,UTexas
"Berkelaar, Brenda",1,2,Not Hot,1,Communication,UTexas
"Bernstein, Mark",4.4,8,Not Hot,3.6,Communication,UTexas
"Berrey, Marquis",5,1,Hot,5,Classics,UTexas
"Bertelsen, Lance",5,2,Not Hot,2.5,English,UTexas
"Biegalski, Steven",4.6,19,Hot,3.1,Engineering,UTexas
"Bigler, Rebecca",4.5,4,Not Hot,2.8,Psychology,UTexas
"Bini, Daniella",2.6,4,Not Hot,2.5,Languages,UTexas
"Bishop, Elizabeth", ,0,Not Hot, ,Literature,UTexas
"Bivins, Sally",1,1,Not Hot,1,English,UTexas
"Bjorland, Clayton",3.4,5,Not Hot,3.6,Mathematics,UTexas
"Blackman, Reid",3.5,4,Not Hot,4.5,Philosophy,UTexas
"Blinkova, ",1.8,6,Not Hot,2.3,Biology,UTexas
"Berry, Betsy",4.3,9,Hot,3,English,UTexas
"Bichteler, Klaus",1.6,29,Not Hot,1.7,Mathematics,UTexas
"Bierner, Mark",4.4,6,Not Hot,4.2,Science,UTexas
"Binfield, Marnie",4,1,Not Hot,3,Film,UTexas
"Biow, Douglas",5,1,Not Hot,4,French & Italian,UTexas
"Bishop, Robert", ,0,Not Hot, ,Engineering,UTexas
"Bizer, Marc",4,1,Not Hot,3,Languages,UTexas
"Bjurman-Pautz, Anna",3.5,3,Hot,3.7,Philosophy,UTexas
"Blankenship, Sarah",5,1,Not Hot,3,Nursing,UTexas
"Blockley, Mary E.",2.9,5,Not Hot,1.8,English,UTexas
"Bloom, Emily",1.5,1,Not Hot,3,Writing,UTexas
"Blue, Morgan", ,0,Not Hot, ,Film,UTexas
"Boade, Erin",5,2,Hot,4,English,UTexas
"Bocknack, Brian",4.2,17,Not Hot,2.9,Chemistry,UTexas
"Bohm, Arno", ,0,Not Hot, ,Physics,UTexas
"Bolmarcich, Sarah",4.8,8,Hot,3,Classics,UTexas
"Bonin, Paul A", ,0,Not Hot, ,Fine Arts,UTexas
"Boral, Haran",3,1,Not Hot,2,Computer Science,UTexas
"Bormashenko, Olena",3.5,4,Hot,2.2,Mathematics,UTexas
"Bostick, Francis",5,3,Not Hot,3.7,Engineering,UTexas
"Blouke, Catherine", ,0,Not Hot, ,Not Specified,UTexas
"Blyth, Carl",5,1,Hot,2,Languages,UTexas
"Bock, Mary", ,0,Not Hot, ,Journalism,UTexas
"Bodian, Marion",3.2,2,Not Hot,4,History,UTexas
"Bolkan, San",4.4,8,Hot,3.8,Communication,UTexas
"Bonevac, Daniel",4.4,24,Hot,3.9,Philosophy,UTexas
"Boone, Catherine",4,1,Not Hot,4,Political Science,UTexas
"Borden, Erika",4.8,5,Hot,3,Biology,UTexas
"Bos, Pascale",4.4,4,Hot,3.2,Languages,UTexas
"Bourque, Kevin",5,1,Hot,1,English,UTexas
"Bovik, Alan",5,1,Hot,2,Engineering,UTexas
"Boyarchenko, Svetlana",5,2,Hot,4.5,Economics,UTexas
"Bozelka, Kevin",5,1,Not Hot,4,Film,UTexas
"Branch, Katy", ,0,Not Hot, ,French & Italian,UTexas
"Brandl, Michael",4,15,Hot,1.7,Business,UTexas
"Branham, Lorraine", ,0,Not Hot, ,Journalism,UTexas
"Brauntuch, Troy",3.5,2,Hot,3,Fine Arts,UTexas
"Bredeson, Dean",4.4,14,Hot,2.7,Business,UTexas
"Bremen, Brian",4.6,4,Not Hot,3,English,UTexas
"Brereton, Joel",4.8,2,Not Hot,4,Religion,UTexas
"Bowers, Matthew",4.7,3,Not Hot,4,Education,UTexas
"Boydston, AJ", ,0,Not Hot, ,Chemistry,UTexas
"Bradbury, Kirsten",4.7,7,Hot,4.3,Psychology,UTexas
"Brand, Jerry",3.2,6,Not Hot,2.5,Biology,UTexas
"Brands, H. W. ""Bill""",4.2,8,Not Hot,2.4,History,UTexas
"Brassel, Kenan",1.5,1,Not Hot,1,French & Italian,UTexas
"Breana, Dacy", ,0,Not Hot, ,Education,UTexas
"Breecker, Dan",3.8,5,Hot,3,Geology,UTexas
"Brenner, Michael",1.5,2,Not Hot,3,International Studies,UTexas
"Brinks, Daniel",4.5,4,Not Hot,2.8,Political Science,UTexas
"Broadbent, Philipp",3.1,5,Hot,2.2,Languages,UTexas
"Bronars, Stephen G",2.7,3,Not Hot,4.7,Economics,UTexas
"Brown, Jeremy",5,1,Hot,3,Biology,UTexas
"Brown, Norman",2,3,Not Hot,2.3,History,UTexas
"Browning, Cassidy",4.8,6,Not Hot,4.7,Theater,UTexas
"Brownstein, Lawrence",4.8,15,Not Hot,4.5,Psychology,UTexas
"Brunick, Gererd",4.8,2,Hot,3.5,Mathematics,UTexas
"Bryan, Amy",5,1,Not Hot,5,Women's Studies,UTexas
"Bryant, James",2.7,6,Not Hot,1.2,Biology,UTexas
"Buchanan, Bruce",4.6,7,Not Hot,3,Political Science,UTexas
"Brodbelt, Jennifer",3,10,Not Hot,3.2,Chemistry,UTexas
"Bronson, Franklin",2.9,4,Not Hot,3,Biology,UTexas
"Brown, Laura",5,2,Hot,3.5,Communication,UTexas
"Brown, Patti",5,1,Not Hot,3,Accounting,UTexas
"Browning, Larry",4,1,Not Hot,3,Communication,UTexas
"Brumbaugh, Sean",4.2,2,Hot,2.5,Biology,UTexas
"Bruster, Doug",4.8,13,Hot,3.7,English,UTexas
"Bryant, Diane",1,1,Not Hot,5,Education,UTexas
"Bsumek, Erika",3.5,3,Hot,1.7,History,UTexas
"Buchanan, Pamela",3.5,1,Not Hot,4,Physical Ed,UTexas
"Buchanan, Ray",4.5,1,Not Hot,3,Philosophy,UTexas
"Buckley, Sean", ,0,Not Hot, ,Engineering,UTexas
"Budziszewski, J",2.6,14,Not Hot,2.3,Political Science,UTexas
"Bull, Jim",3.7,13,Not Hot,3.2,Science,UTexas
"Bump, Jerome",3.8,3,Not Hot,2.7,English,UTexas
"Burns, Neal",3.3,5,Not Hot,4,Journalism,UTexas
"Burrows, John",3.8,3,Not Hot,3.3,Management,UTexas
"Bushart, Tom",3.2,8,Hot,2.1,Biology,UTexas
"Buss, Arnold",3.3,5,Not Hot,3.8,Psychology,UTexas
"Butler, Kent", ,0,Not Hot, ,Architecture,UTexas
"Buckley, Cynthia", ,0,Not Hot, ,Sociology,UTexas
"Buckley, Tom",4.6,11,Hot,1.9,Writing,UTexas
"Buel, Sarah",1.9,6,Not Hot,3,Law,UTexas
"Bullock, Barbara", ,0,Not Hot, ,Linguistics,UTexas
"Bunting, Mark",5,1,Hot,4,Advertising,UTexas
"Burris, Ethan", ,0,Not Hot, ,Management,UTexas
"Bush, Walker",1,1,Not Hot,1,Economics,UTexas
"Buskirk, Ruth",4.1,15,Not Hot,2.9,Biology,UTexas
"Buss, David",4.9,4,Hot,3.5,Psychology,UTexas
"Buxton, Richard",3.8,2,Not Hot,3,History,UTexas
"Bybee, John",2.5,2,Not Hot,4.5,Education,UTexas
"Caffarelli, Luis",5,1,Hot,3,Mathematics,UTexas
"Camacho, Tania",1.2,5,Not Hot,1.8,Music,UTexas
"Campion, Alan",1.7,24,Not Hot,2,Chemistry,UTexas
"Candelaria, Lorenzo",5,2,Not Hot,5,Music,UTexas
"Canning, Charlotte",2.3,5,Not Hot,2.6,Theater,UTexas
"Caputo, Cristina",4.3,10,Hot,3.5,Mathematics,UTexas
"Cardwell, George",2.8,2,Not Hot,4,Engineering,UTexas
"Carner, William",3.2,2,Not Hot,4,Marketing,UTexas
"Carrillo, Juan",5,1,Not Hot,2,Education,UTexas
"Cabrera, Sergio A", ,0,Not Hot, ,Sociology,UTexas
"Callahan, Rebecca",5,2,Not Hot,3,Education,UTexas
"Campbell, Eric",5,1,Hot,2,Linguistics,UTexas
"Canavan, Claire", ,0,Not Hot, ,Theater,UTexas
"Canizares-Esguerra, Jorge",3.8,14,Not Hot,1.8,History,UTexas
"Capra, Carlos",3.8,4,Not Hot,2.8,Languages,UTexas
"Carcamo-Huechante, Luis", ,0,Not Hot, ,Spanish & Portuguese,UTexas
"Carlson, Andrew",5,3,Hot,3.7,Theater,UTexas
"Carpenter, Quetta", ,0,Not Hot, ,Theater,UTexas
"Carrington, Ben",4.8,2,Hot,4.5,Sociology,UTexas
"Carroll, Patrick",4.5,21,Not Hot,3,Psychology,UTexas
"Carter, Alicia",5,3,Not Hot,4.3,Languages,UTexas
"Carter, Mia",4.8,3,Hot,2.3,English,UTexas
"Casagranda, Roy",4.6,16,Hot,3.4,Political Science,UTexas
"Casellas, Jason",4,6,Not Hot,4.2,Government,UTexas
"Cashbaugh, Sean", ,0,Not Hot, ,English,UTexas
"Cates, Lynn", ,0,Not Hot, ,Philosophy,UTexas
"Cepparo, Amy",4.8,3,Hot,3.3,Languages,UTexas
"Chambers, Edward",4,1,Not Hot,5,Art History,UTexas
"Chang, Yvonne", ,0,Not Hot, ,Asian Studies,UTexas
"Carroll-Lee, Lisa",5,2,Hot,3,Literature,UTexas
"Carter, Greg",5,1,Hot,5,Ethnic Studies,UTexas
"Carter, Ronald",2.5,1,Not Hot,1,Engineering,UTexas
"Casares, Oscar",2.7,5,Hot,3.2,English,UTexas
"Cash, Wanda",3.8,4,Not Hot,1.8,Journalism,UTexas
"Castravet, ",2.7,3,Not Hot,2.3,Mathematics,UTexas
"Causey, Robert",2.5,1,Not Hot,2,Philosophy,UTexas
"Cepparo, Gustavo",4.2,15,Hot,2.8,Mathematics,UTexas
"Chan, Chi Hin",3,1,Not Hot,3,Mathematics,UTexas
"Chapman, Terry",4.2,3,Hot,3,Government,UTexas
"Charles, Michael Ray",1.7,3,Hot,2.3,Fine Arts,UTexas
"Charrad, Mounira",3.5,1,Not Hot,1,Sociology,UTexas
"Charumbira, Ruramisai", ,0,Not Hot, ,History,UTexas
"Chase, Craig",3.6,8,Not Hot,2.2,Engineering,UTexas
"Chazalon, Elodie",3.3,6,Hot,3.5,Languages,UTexas
"Chen, Dongmei",2.5,1,Not Hot,1,Engineering,UTexas
"Chen, Thomas", ,0,Not Hot, ,Mathematics,UTexas
"Cheng, Yingda",3,3,Not Hot,2.7,Mathematics,UTexas
"Chilstrom, Karen",4.2,2,Not Hot,4,Languages,UTexas
"Chinnery-Allgeier, Brenda",3.3,18,Not Hot,3.2,Biology,UTexas
"Charlesworth, Michael",3.8,6,Hot,2.7,Art History,UTexas
"Charro, Fernando",5,1,Not Hot,4,Mathematics,UTexas
"Chase, Allison",4.4,6,Hot,3.8,Psychology,UTexas
"Chavez-Dominguez, Javier A",3.1,4,Not Hot,3.2,Mathematics,UTexas
"Chelikowsky, James",4,4,Not Hot,2.5,Physics,UTexas
"Chen, Ray",1,1,Not Hot,5,Engineering,UTexas
"Cheney, Elliott",3.1,4,Not Hot,2.8,Mathematics,UTexas
"Cherwitz, Richard",2,2,Not Hot,1.5,Business,UTexas
"Chimera, Matt",5,1,Hot,5,Anthropology,UTexas
"Chitturi, Pallavi",4.2,2,Hot,3.5,Business,UTexas
"Chiu, Charles",4,5,Not Hot,4,Science,UTexas
"Choi, Namkee", ,0,Not Hot, ,Social Work,UTexas
"Christian, Pam",4.3,3,Hot,3.7,Theater,UTexas
"Chu, Chia-Chieh",2.5,1,Not Hot,3,Mathematics,UTexas
"Chu, Shu-Chuan",3.8,2,Not Hot,4.5,Advertising,UTexas
"Ciperiani, Mirela",1.5,1,Not Hot,2,Mathematics,UTexas
"Clark, Robert",1,1,Not Hot,1,Physics,UTexas
"Cleaver, Harry",3.7,6,Not Hot,2.5,Economics,UTexas
"Clements, Matt",3,2,Not Hot,1,Economics,UTexas
"Cline, Alan",2.5,8,Not Hot,1.9,Computer Science,UTexas
"Choi, Marina",3.5,3,Not Hot,4,Communication,UTexas
"Christensen, Christen",2.9,4,Not Hot,3.5,Communication,UTexas
"Christou, Odysseas",3,1,Not Hot,2,Political Science,UTexas
"Chu, Kenneth",1,1,Not Hot,1,Mathematics,UTexas
"Cicchirillo, Vincent",4.7,5,Hot,4.8,Advertising,UTexas
"Clark, Jim",4,3,Not Hot,3.3,Sociology,UTexas
"Clarke, John",3.8,10,Not Hot,2.5,Art History,UTexas
"Clement, Henry",2.1,4,Not Hot,2.5,Political Science,UTexas
"Cleveland, Lynda",2.6,25,Not Hot,2.8,Business,UTexas
"Cline, John",4,1,Not Hot,5,American Studies,UTexas
"Cline, Lea",5,2,Not Hot,4.5,Art History,UTexas
"Cobb, John (woodshop)",4,1,Not Hot,4,Fine Arts,UTexas
"Colapret, John",3.2,20,Not Hot,3,Chemistry,UTexas
"Colomina-Alminana, Juan",3,1,Not Hot,2,Philosophy,UTexas
"Connolly, Perry",2.6,4,Not Hot,2.5,Languages,UTexas
"Cooke, Jenny",4.7,3,Hot,4.3,Geology,UTexas
"Cooper, Andrew",4.2,3,Hot,2,English,UTexas
"Cormack, Lawrence",3.2,2,Not Hot,2,Psychology,UTexas
"Cousins, William", ,0,Not Hot, ,Spanish & Portuguese,UTexas
"Cox, J",4.1,13,Hot,3.4,English,UTexas
"Clingerman, Evelyn",4.5,1,Not Hot,4,Nursing,UTexas
"Coker, W. Rory",4.4,10,Not Hot,2.3,Physics,UTexas
"Coles, Thelma", ,0,Not Hot, ,Fine Arts,UTexas
"Conforti, Peter", ,0,Not Hot, ,Education,UTexas
"Cook, William",5,1,Hot,3,Computer Science,UTexas
"Coon, Adam",5,1,Not Hot,4,Spanish & Portuguese,UTexas
"Cordova, Cary",3.8,3,Not Hot,1.7,American Studies,UTexas
"Cottom, Nola", ,0,Not Hot, ,Nursing,UTexas
"Cowley, Allen",2.7,6,Not Hot,2.2,Chemistry,UTexas
"Coyle, Ed",3.5,4,Not Hot,2.5,Health Science,UTexas
"Craft, Jason", ,0,Not Hot, ,Writing,UTexas
"Crawford, Richard",3.2,2,Not Hot,2.5,Engineering,UTexas
"Croft, Samantha",4,1,Hot,5,Biology,UTexas
"Crowhurst, Megan",4.5,1,Not Hot,3,Linguistics,UTexas
"Cudina, Milica",3.8,3,Not Hot,4.3,Mathematics,UTexas
"Cunningham, Carolyn",3.1,5,Not Hot,3.6,Film,UTexas
"Curtis, Todd",4.2,14,Hot,4.1,Humanities,UTexas
"Dacy, Breana", ,0,Not Hot, ,Education,UTexas
"Dahlin, Mike", ,0,Not Hot, ,Computer Science,UTexas
"Dale, Nell", ,0,Not Hot, ,Computer Science,UTexas
"Cravens, Craig",3.5,1,Hot,4,Languages,UTexas
"Crews, Kelley",4.8,2,Not Hot,3.5,Geography,UTexas
"Crosnoe, Robert",4.5,1,Not Hot,2,Psychology,UTexas
"Cucher, Michael",4.8,2,Hot,4,Ethnic Studies,UTexas
